,appid,tags,genre
69,532210,"['Choices Matter', 'Story Rich', 'Adventure', 'Singleplayer', 'Great Soundtrack', 'Atmospheric', 'Episodic', 'Drama', 'Sexual Content', 'Choose Your Own Adventure', 'Point & Click', 'Third Person', 'Walking Simulator', 'LGBTQ+', 'Mystery', 'Nudity', 'Puzzle', 'Funny', 'Comedy', 'Classic']",Adventure
70,220,"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian ', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Horror', 'Puzzle', 'Multiplayer', 'Moddable']",Action
71,1517290,"['Shooter', 'Multiplayer', 'FPS', 'Action', 'War', 'Military', 'First-Person', 'PvP', 'Futuristic', 'Team-Based', 'Combat', 'Vehicular Combat', 'Modern', 'Destruction', 'Physics', 'Cinematic', 'Singleplayer', 'Adventure', 'Hero Shooter', 'Psychological Horror']","Action, Adventure, Casual"
72,130,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'Classic', 'First-Person', 'Zombies', 'Adventure', ""1990's"", 'Short', 'Atmospheric', 'Silent Protagonist', 'Story Rich', 'Puzzle', 'Moddable', 'Great Soundtrack', 'Retro', 'Old School']",Action
73,218230,"['Free to Play', 'FPS', 'Massively Multiplayer', 'Shooter', 'Action', 'Open World', 'Multiplayer', 'Team-Based', 'Sci-fi', 'Tactical', 'War', 'First-Person', 'PvP', 'Futuristic', 'Co-op', 'Online Co-Op', 'Strategy', 'Space', 'Adventure', 'RPG']","Action, Free to Play, Massively Multiplayer"
74,72850,"['Open World', 'RPG', 'Fantasy', 'Adventure', 'Dragons', 'Moddable', 'First-Person', 'Action', 'Medieval', 'Singleplayer', 'Magic', 'Story Rich', 'Great Soundtrack', 'Sandbox', 'Lore-Rich', 'Atmospheric', 'Character Customization', 'Action RPG', 'Third Person', 'Epic']",RPG
75,1222670,"['Free to Play', 'Life Sim', 'Sandbox', 'Building', 'Romance', 'Immersive Sim', 'Character Customization', 'Dating Sim', 'Cute', 'Simulation', 'Relaxing', 'Singleplayer', 'Casual', 'Funny', 'Realistic', 'Family Friendly', 'Cartoony', 'Adventure', 'Fantasy', 'Multiplayer']","Adventure, Casual, Free to Play, Simulation"
76,80,"['Action', 'FPS', 'Shooter', 'Multiplayer', 'First-Person', 'Singleplayer', 'Classic', 'Tactical', 'Team-Based', 'Competitive', 'Military', 'Strategy', 'Online Co-Op', 'Adventure', 'Survival', 'Atmospheric', 'Old School', 'Open World', 'Dark', 'Simulation']",Action
77,275390,"['Metroidvania', '2D', 'Platformer', 'Action', 'Colorful', 'Indie', 'Local Co-Op', 'Adventure', 'Funny', ""Beat 'em up"", 'Comedy', 'Co-op', 'Great Soundtrack', 'Singleplayer', '4 Player Local', 'Wrestling', 'Local Multiplayer', 'Side Scroller', 'Action-Adventure', 'Memes']","Action, Adventure, Indie"
78,96000,"['Point & Click', 'Puzzle', 'Hand-drawn', 'Steampunk', 'Retro', 'Atmospheric', '2D', 'Story Rich', 'Casual', 'Family Friendly', 'Cute', 'Surreal', 'Stylized', 'Adventure', 'Singleplayer', 'Hidden Object', 'Indie', 'Minigames', 'Logic', 'Relaxing']","Adventure, Casual, Indie"
79,255710,"['City Builder', 'Simulation', 'Building', 'Management', 'Strategy', 'Sandbox', 'Singleplayer', 'Moddable', 'Economy', 'Resource Management', 'Mod', 'Realistic', 'Replay Value', 'Casual', 'Modern', 'Real-Time with Pause', 'Family Friendly', 'Great Soundtrack', 'Funny', 'Action']","Simulation, Strategy"
80,1089350,"['Basketball', 'Sports', 'Simulation', 'Multiplayer', 'Singleplayer', 'Capitalism', 'Loot', 'Casual', 'Local Multiplayer', 'Massively Multiplayer', 'Character Customization', 'Controller', 'Realistic', 'Football (Soccer)']","Simulation, Sports"
81,224260,"['Free to Play', 'Zombies', 'Multiplayer', 'Survival', 'Horror', 'Co-op', 'Online Co-Op', 'Action', 'FPS', 'First-Person', 'Survival Horror', 'Shooter', 'Post-apocalyptic', 'Open World', 'Realistic', 'Indie', 'Atmospheric', 'Mod', 'Adventure', 'Massively Multiplayer']","Action, Free to Play, Indie"
